nom_païen,nom_chretien,latitude,longitude,type,description
Göbekli Tepe,Temple néolithique,37.2233,38.9111,montagne,"Premier lieu de pause du corps – 9600 av. J.-C."
Sedona,Vortex rouge,34.8697,-111.7610,rocher,"Vortex d’élévation mentale – roches rouges"
Uluru,Ayers Rock,-25.3444,131.0369,monolithe,"Cœur sacré de l’Australie – rêves ancestraux"
Monts d'Arrée,Mont Saint-Michel de Brasparts,48.0700,-4.0000,montagne,"Réseau tellurique breton – quartz piézoélectrique"
Lourdes,Grotte de Massabielle,43.0988,0.0450,source,"Eau ionisée – apaisement profond"
Rennes-les-Bains,Église Sainte-Marie-Madeleine,42.8500,2.3000,source,"Source sacrée celtique – eau ferrugineuse"
Bibracte,Sanctuaire gallo-romain,46.9333,4.1000,acropole,"Capitale éduenne – sanctuaire druidique"
Gergovie,Plateau de Gergovie,45.6000,3.0833,plateau,"Sanctuaire arverne – résistance sacrée"
Alésia,MuséoParc Alésia,47.5000,4.5000,plaine,"Champ de bataille sacré – mémoire collective"
Tara,Hill of Tara,53.5833,-6.3667,colline,"Siège sacré des rois d’Irlande"
Newgrange,Passage tomb,53.6947,-6.4531,tumulus,"Tombeau solaire – lever du soleil d’hiver"
Stonehenge,Cercle de pierres,51.1789,-1.8262,cercle,"Alignement solaire/lunaire – résonance à 110 Hz"
Avebury,Cercle de pierres,51.4294,-1.8550,cercle,"Plus grand cercle mégalithique d’Europe"
Montségur,Château cathare,42.8900,1.8500,montagne,"Dernier refuge des purs – esprit libre"
Rocamadour,Falaise sacrée,44.7931,1.6128,falaise,"Pèlerinage pré-chrétien – verticalité spirituelle"
Conques,Abbatiale Sainte-Foy,44.6200,2.3900,vallée,"Voie sacrée – lumière dans la crypte"
Moissac,Abbaye Saint-Pierre,44.0900,1.0800,portail,"Portail roman sur lieu druidique"
Vézelay,Colline sacrée,47.4731,3.7500,colline,"Colline des pèlerins – source tellurique"
Autun,Arènes romaines,46.9481,4.2989,arène,"Arènes sur sanctuaire celtique"
Langres,Cathédrale Saint-Mammès,47.8700,5.1300,acropole,"Acropole lingonne – vue panoramique sacrée"
Tournai,Cathédrale Notre-Dame,50.6050,3.3850,source,"Source sacrée des Tungri"
Mons,Basilique Sainte-Waudru,50.4550,3.9520,source,"Source dédiée à une déesse germanique"
Bruxelles,Église Sainte-Gudule,50.8450,4.3500,source,"Source sacrée sous la cathédrale"
Anvers,Cathédrale Notre-Dame,51.2194,4.4025,source,"Ancien temple dédié à une déesse marine"
Gand,Église Saint-Bavon,51.0500,3.7167,source,"Source sacrée des Gandavi"
Luxeuil,Abbaye Saint-Colomban,47.7700,6.3700,forêt,"Forêt sacrée – ermitage druidique"
Jumièges,Abbaye de Jumièges,49.4300,0.8800,falaise,"Falaise sur la Seine – lieu de méditation"
Mont-Saint-Michel-de-Bois,Ermitage,48.6361,-1.5115,montagne,"Double du Mont Saint-Michel – énergie miroir"
Saint-Michel-d’Aiguilhe,Chapelle Saint-Michel,45.0431,3.8844,volcan,"Pinacle volcanique – ascension spirituelle"
Mont Bégo,Vallée des Merveilles,44.0800,7.3500,rocher,"Roches gravées – sanctuaire néolithique"
